run,Position,Velocity,TorqueForce,TorqueGeneratingCurrent,timestamp,timestepsns,timestepsms,a_ziel,v_ziel,Amplitude,Messzeitms
0,-0.000699999975040555,0.0,0.0,0.0,539796579077,0,0.0,1949.0,50,35,2901.996965
0,-0.000699999975040555,0.0,0.0,0.0,539820578568,23999491,23.999491,1949.0,50,35,2901.996965
0,-0.000699999975040555,0.0,0.0,0.04899999871850014,539844587417,48008340,48.00834,1949.0,50,35,2901.996965
0,0.0034000000450760126,66.3759994506836,0.1899999976158142,0.5509999990463257,539868576501,71997424,71.997424,1949.0,50,35,2901.996965
0,0.4449000060558319,1473.9990234375,0.05999999865889549,0.21699999272823334,539892579833,96000756,96.000756,1949.0,50,35,2901.996965
0,1.1186000108718872,1950.072998046875,0.05999999865889549,0.23100000619888306,539916579253,120000176,120.000176,1949.0,50,35,2901.996965
0,1.9589999914169312,2357.48291015625,0.05000000074505806,0.20200000703334808,539940577556,143998479,143.998479,1949.0,50,35,2901.996965
0,2.9184000492095947,2510.833984375,0.05999999865889549,0.19200000166893005,539964585707,168006630,168.00663,1949.0,50,35,2901.996965
0,3.960599899291992,2762.60400390625,0.05000000074505806,0.20100000500679016,539988577236,191998159,191.998159,1949.0,50,35,2901.996965
0,5.054800033569336,2783.202880859375,0.05000000074505806,0.19699999690055847,540012580567,216001490,216.00149,1949.0,50,35,2901.996965
0,6.1819000244140625,2822.113037109375,0.05000000074505806,0.1889999955892563,540036579150,240000073,240.000073,1949.0,50,35,2901.996965
0,7.330599784851074,2886.199951171875,0.05000000074505806,0.21799999475479126,540060580247,264001170,264.00117,1949.0,50,35,2901.996965
0,8.496199607849121,2950.287109375,0.05999999865889549,0.2290000021457672,540084586442,288007365,288.007365,1949.0,50,35,2901.996965
0,9.67490005493164,2977.7529296875,0.05000000074505806,0.21699999272823334,540108577691,311998614,311.998614,1949.0,50,35,2901.996965
0,10.859800338745117,2980.0419921875,0.05000000074505806,0.21699999272823334,540132579416,336000339,336.000339,1949.0,50,35,2901.996965
0,12.054499626159668,3023.529052734375,0.05000000074505806,0.20000000298023224,540156578767,359999690,359.99969,1949.0,50,35,2901.996965
0,13.24530029296875,3030.39599609375,0.05000000074505806,0.18700000643730164,540180579864,384000787,384.000787,1949.0,50,35,2901.996965
0,14.44729995727539,3014.3740234375,0.05000000074505806,0.1850000023841858,540204585151,408006074,408.006074,1949.0,50,35,2901.996965
0,15.640299797058105,2998.35205078125,0.05000000074505806,0.1899999976158142,540228578007,431998930,431.99893,1949.0,50,35,2901.996965
0,16.840200424194336,2973.175048828125,0.05000000074505806,0.1940000057220459,540252579872,456000795,456.000795,1949.0,50,35,2901.996965
0,18.033100128173828,2931.97607421875,0.05000000074505806,0.19499999284744263,540276580130,480001053,480.001053,1949.0,50,35,2901.996965
0,19.233600616455078,2950.287109375,0.05999999865889549,0.2029999941587448,540300580599,504001522,504.001522,1949.0,50,35,2901.996965
0,20.433000564575195,2968.597900390625,0.05999999865889549,0.1850000023841858,540324586724,528007647,528.007647,1949.0,50,35,2901.996965
0,21.632099151611328,3018.951904296875,0.05000000074505806,0.19099999964237213,540348577484,551998407,551.998407,1949.0,50,35,2901.996965
0,22.833200454711914,2961.73095703125,0.05999999865889549,0.18400000035762787,540372580676,576001599,576.001599,1949.0,50,35,2901.996965
0,24.033300399780273,3007.507080078125,0.05000000074505806,0.1889999955892563,540396578840,599999763,599.999763,1949.0,50,35,2901.996965
0,25.23539924621582,3023.529052734375,0.05000000074505806,0.1809999942779541,540420579098,624000021,624.000021,1949.0,50,35,2901.996965
0,26.43560028076172,3037.261962890625,0.03999999910593033,0.1809999942779541,540444587529,648008452,648.008452,1949.0,50,35,2901.996965
0,27.63360023498535,2966.30908203125,0.05000000074505806,0.19900000095367432,540468576543,671997466,671.997466,1949.0,50,35,2901.996965
0,28.831600189208984,3021.239990234375,0.05000000074505806,0.19599999487400055,540492581062,696001985,696.001985,1949.0,50,35,2901.996965
0,30.033000946044922,2964.02001953125,0.05000000074505806,0.1940000057220459,540516579854,720000777,720.000777,1949.0,50,35,2901.996965
0,31.233699798583984,2954.864990234375,0.05000000074505806,0.1679999977350235,540540580182,744001105,744.001105,1949.0,50,35,2901.996965
0,32.38669967651367,2462.76904296875,0.03999999910593033,0.15700000524520874,540564586797,768007720,768.00772,1949.0,50,35,2901.996965
0,33.248199462890625,1572.41796875,0.029999999329447746,0.13199999928474426,540588576998,791997921,791.997921,1949.0,50,35,2901.996965
0,33.66669845581055,121.30699920654297,0.029999999329447746,0.05400000140070915,540612579841,816000764,816.000764,1949.0,50,35,2901.996965
0,33.62990188598633,-833.1300048828125,-0.05000000074505806,-0.20399999618530273,540636579541,840000464,840.000464,1949.0,50,35,2901.996965
0,33.144901275634766,-1647.948974609375,-0.05000000074505806,-0.20100000500679016,540660581755,864002678,864.002678,1949.0,50,35,2901.996965
0,32.41590118408203,-2041.6259765625,-0.05999999865889549,-0.1889999955892563,540684586693,888007616,888.007616,1949.0,50,35,2901.996965
0,31.530099868774414,-2368.927001953125,-0.05000000074505806,-0.1979999989271164,540708577244,911998167,911.998167,1949.0,50,35,2901.996965
0,30.53809928894043,-2542.876953125,-0.05999999865889549,-0.21199999749660492,540732580785,936001708,936.001708,1949.0,50,35,2901.996965
0,29.48310089111328,-2751.159912109375,-0.05000000074505806,-0.2029999941587448,540756577971,959998894,959.998894,1949.0,50,35,2901.996965
0,28.3789005279541,-2929.68798828125,-0.05000000074505806,-0.1889999955892563,540780580465,984001388,984.001388,1949.0,50,35,2901.996965
